close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
178.35,180.9,178.08,180.645,22006182,178.35,180.9,178.08,180.645,22006182,0.0,1.0
180.75,181.08,177.19,177.41,25352939,180.75,181.08,177.19,177.41,25352939,0.0,1.0
176.51,176.94,173.5,173.8,33695538,176.51,176.94,173.5,173.8,33695538,0.0,1.0
169.74,170.53,168.84,169.43,18242050,169.74,170.53,168.84,169.43,18242050,0.0,1.0
169.24,170.73,168.011,169.93,21492744,169.24,170.73,168.011,169.93,21492744,0.0,1.0
171.29,172.32,168.88,170.07,31796477,171.29,172.32,168.88,170.07,31796477,0.0,1.0
171.11,176.82,171.0,173.13,44768981,171.11,176.82,171.0,173.13,44768981,0.0,1.0
174.46,182.02,174.0599,180.68,68890787,174.46,182.02,174.0599,180.68,68890787,0.0,1.0
169.68,170.38,167.0896,167.73,42169025,169.68,170.38,167.0896,167.73,42169025,0.0,1.0
166.72,168.75,163.95,168.75,32138641,166.72,168.75,163.95,168.75,32138641,0.0,1.0
165.27,165.59,163.42,163.67,19828884,165.27,165.59,163.42,163.67,19828884,0.0,1.0
162.72,163.33,161.01,162.83,22412527,162.72,163.33,161.01,162.83,22412527,0.0,1.0
162.78,165.82,161.925,164.76,18280518,162.78,165.82,161.925,164.76,18280518,0.0,1.0
165.14,165.77,162.98,162.98,16568121,165.14,165.77,162.98,162.98,16568121,0.0,1.0
164.07,164.5,162.62,162.95,20946455,164.07,164.5,162.62,162.95,20946455,0.0,1.0
163.42,164.71,163.08,163.19,19757661,163.42,164.71,163.08,163.19,19757661,0.0,1.0
162.93,166.37,162.76,165.73,21453395,162.93,166.37,162.76,165.73,21453395,0.0,1.0
165.16,165.8,163.74,164.53,16406030,165.16,165.8,163.74,164.53,16406030,0.0,1.0
165.46,167.68,164.625,165.785,20247195,165.46,167.68,164.625,165.785,20247195,0.0,1.0
164.96,166.226,163.4,163.64,19016141,164.96,166.226,163.4,163.64,19016141,0.0,1.0
163.24,163.9,161.235,162.13,15344251,163.24,163.9,161.235,162.13,15344251,0.0,1.0
162.08,163.07,160.395,160.87,14144068,162.08,163.07,160.395,160.87,14144068,0.0,1.0
161.86,164.84,159.74,163.45,31181774,161.86,164.84,159.74,163.45,31181774,0.0,1.0
164.38,164.725,162.87,163.94,23072733,164.38,164.725,162.87,163.94,23072733,0.0,1.0
162.98,168.48,162.75,167.72,22463140,162.98,168.48,162.75,167.72,22463140,0.0,1.0
167.06,168.23,165.48,168.06,19093724,167.06,168.23,165.48,168.06,19093724,0.0,1.0
165.86,166.64,163.923,164.41,15073101,165.86,166.64,163.923,164.41,15073101,0.0,1.0
165.86,167.52,164.73,166.42,17760179,165.86,167.52,164.73,166.42,17760179,0.0,1.0
166.99,169.16,164.58,167.685,28338123,166.99,169.16,164.58,167.685,28338123,0.0,1.0
165.85,166.15,163.26,163.32,20481303,165.85,166.15,163.26,163.32,20481303,0.0,1.0
163.95,165.7,162.6261,162.81,21101307,163.95,165.7,162.6261,162.81,21101307,0.0,1.0
162.73,164.08,162.28,163.64,20319336,162.73,164.08,162.28,163.64,20319336,0.0,1.0
161.49,162.81,161.3,161.47,18869199,161.49,162.81,161.3,161.47,18869199,0.0,1.0
162.29,163.2158,160.69,163.03,23332147,162.29,163.2158,160.69,163.03,23332147,0.0,1.0
161.85,165.49,161.67,164.35,24150852,161.85,165.49,161.67,164.35,24150852,0.0,1.0
163.59,163.73,162.06,163.5,40896438,163.59,163.73,162.06,163.5,40896438,0.0,1.0
162.14,163.79,161.34,163.71,26587733,162.14,163.79,161.34,163.71,26587733,0.0,1.0
159.81,160.5,158.595,159.86,23677315,159.81,160.5,158.595,159.86,23677315,0.0,1.0
159.32,160.55,158.375,159.02,20715612,159.32,160.55,158.375,159.02,20715612,0.0,1.0
158.06,158.25,156.6,157.31,18379775,158.06,158.25,156.6,157.31,18379775,0.0,1.0
157.46,158.38,155.21,155.43,29591152,157.46,158.38,155.21,155.43,29591152,0.0,1.0
154.69,154.82,152.65,153.8,29695048,154.69,154.82,152.65,153.8,29695048,0.0,1.0
151.16,151.5,147.52,149.92,29607693,151.16,151.5,147.52,149.92,29607693,0.0,1.0
148.66,151.27,148.34,150.45,31118765,148.66,151.27,148.34,150.45,31118765,0.0,1.0
148.71,153.4,147.215,152.51,39260451,148.71,153.4,147.215,152.51,39260451,0.2,1.0
150.92,157.83,150.55,157.3,37912130,150.7173003828,157.6180196092,150.3477973272,157.0887314485,37912130,0.0,1.0
157.24,159.45,155.9805,156.3,18688747,157.0288120341,159.2358437983,155.7710036599,156.0900745417,18688747,0.0,1.0
156.45,159.0,155.9616,156.655,19197458,156.2398730777,158.7864481902,155.7521290444,156.4445977436,19197458,0.0,1.0
157.36,161.85,156.48,161.72,38945301,157.1486508629,161.6326203747,156.2698327849,161.5027949768,38945301,0.0,1.0
163.38,163.66,161.6925,162.615,22123811,163.1605654422,163.4401893761,161.4753319119,162.3965929085,22123811,0.0,1.0
161.78,165.97,160.25,164.31,19699767,161.5627143912,165.747086831,160.0347693238,164.0893163656,19699767,0.0,1.0
162.85,165.6,161.5284,165.035,16407444,162.6312772816,165.3775837754,161.3114523135,164.8133426231,16407444,0.0,1.0
164.68,166.4426,164.46,165.835,11821941,164.4588194211,166.2190520852,164.2391149016,165.6122681485,11821941,0.0,1.0
166.16,167.55,164.455,166.38,14190417,165.9368316433,167.3249647438,164.2341216171,166.1565361628,14190417,0.0,1.0
165.62,166.18,163.83,164.72,13955741,165.3975569136,165.9568047814,163.6099610503,164.4987656974,13955741,0.0,1.0
163.8,167.59,163.31,167.26,22493275,163.5800013431,167.3649110201,163.0906594587,167.0353542408,22493275,0.0,1.0
165.85,166.85,164.67,165.15,22901997,165.6272480021,166.625904909,164.4488328521,164.9281881673,22901997,0.0,1.0
167.18,168.64,166.82,166.9,18341533,166.9554616883,168.4135007723,166.5959452018,166.6758377543,18341533,0.0,1.0
166.67,166.69,164.26,165.28,22416185,166.4461466658,166.4661198039,164.0393835202,165.0580135652,22416185,0.0,1.0
162.96,165.06,161.13,161.47,24208647,162.7411295413,164.8383090457,160.9135874018,161.2531307501,24208647,0.0,1.0
161.3,161.635,159.61,160.5,31524252,161.083359076,161.4179091397,159.3956289034,160.2844335505,31524252,0.0,1.0
160.37,163.22,157.71,162.4,40591126,160.1546081526,163.0007803371,157.4981807803,162.1818816735,40591126,0.0,1.0
164.16,164.73,162.97,163.41,18551690,163.9395178296,164.5087522665,162.7511161104,163.1905251494,18551690,0.0,1.0
162.29,164.9,161.84,164.35,15895286,162.0720294137,164.6785239406,161.6226338057,164.1292626419,15895286,0.0,1.0
163.67,163.79,159.06,160.01,28602285,163.4501759452,163.570014774,158.8463676046,159.7950916661,28602285,0.0,1.0
162.03,163.69,160.21,160.51,25578839,161.812378618,163.4701490833,159.9948230475,160.2944201195,25578839,0.0,1.0
158.94,162.98,158.47,161.25,25138573,158.7265287758,162.7611026795,158.2571600295,161.0334262306,25138573,0.0,1.0
158.29,160.57,156.41,159.33,49004561,158.0774017863,160.3543395339,156.1999268014,159.1160049694,49004561,0.0,1.0
159.25,164.43,154.93,155.5,53630673,159.0361124169,164.2091551944,154.7219145793,155.2911490162,53630673,0.0,1.0
166.66,168.51,164.67,166.44,29130102,166.4361600967,168.2836753744,164.4488328521,166.2164555772,29130102,0.0,1.0
170.76,174.05,168.88,170.25,24531392,170.5306534148,173.8162346384,168.6531784299,170.0213383923,24531392,0.0,1.0
171.54,174.245,170.01,173.24,25729090,171.3096058022,174.0109727352,169.7816607347,173.0073225438,25729090,0.0,1.0
170.29,171.2299,168.44,170.24,18959686,170.0612846686,170.9999222953,168.2137693909,170.0113518232,18959686,0.0,1.0
169.53,170.43,167.99,168.83,20293822,169.3023054194,170.2010966356,167.7643737828,168.6032455846,20293822,0.0,1.0
167.0,168.09,164.06,167.15,41336886,166.775703445,167.8642394735,163.8396521389,166.9255019811,41336886,0.0,1.0
167.28,173.42,167.19,172.52,44851973,167.055327379,173.1870807871,166.9654482573,172.2882895709,44851973,0.0,1.0
172.63,176.19,171.82,173.6,49585203,172.3981418306,175.953360419,171.5892297361,173.3668390303,49585203,0.0,1.0
181.79,183.61,181.54,182.05,36352714,181.5458390974,183.3633946679,181.2961748707,181.8054898932,36352714,0.0,1.0
181.67,182.7,180.23,180.59,24100345,181.4260002686,182.4546168827,179.9879343227,180.3474508092,24100345,0.0,1.0
177.66,180.29,177.13,178.88,18881885,177.4213860721,180.0478537372,176.8920979115,178.6397474985,18881885,0.0,1.0
177.69,182.5,176.47,181.93,25315727,177.4513457793,182.2548855013,176.232984353,181.6856510644,25315727,0.0,1.0
181.02,183.55,179.9,182.965,20734071,180.7768732792,183.3034752535,179.6583775435,182.719260963,20734071,0.0,1.0
183.92,188.68,183.3736,187.36,18290722,183.672978309,188.4265851857,183.1273121751,187.1083580686,18290722,0.0,1.0
186.53,188.24,184.92,184.92,16474043,186.2794728359,187.9871761467,184.6716352159,184.6716352159,16474043,0.0,1.0
185.07,187.11,184.49,185.08,22898406,184.8214337519,186.8586938419,184.242212746,184.831420321,22898406,0.0,1.0
185.57,190.86,185.08,189.845,25625784,185.3207622054,190.6036572426,184.831420321,189.5900204822,25625784,0.0,1.0
191.18,191.75,189.03,189.15,15952454,190.9232274528,191.4924618897,188.7761151031,188.8959539319,15952454,0.0,1.0
188.98,191.36,188.72,190.31,15141312,188.7261822577,191.1029856961,188.466531462,190.0543959439,15141312,0.0,1.0
189.03,190.17,187.78,189.895,21035886,188.7761151031,189.9145839769,187.5277939695,189.6399533275,21035886,0.0,1.0
190.6,190.86,185.8,185.855,20967450,190.3440064468,190.6036572426,185.5504532939,185.6053794238,20967450,0.0,1.0
185.82,186.09,184.0,184.85,10242126,185.5704264321,185.8400637969,183.7528708616,184.6017292324,10242126,0.0,1.0
185.24,185.57,181.56,182.05,17372485,184.9912054261,185.3207622054,181.3161480089,181.8054898932,17372485,0.0,1.0
182.99,183.88,181.3,183.03,16006128,182.7442273857,183.6330320328,181.0564972131,182.7841736619,16006128,0.0,1.0
182.15,185.13,181.96,184.32,29156644,181.9053555839,184.8813531663,181.7156107716,184.0724410718,29156644,0.0,1.0
185.41,186.05,184.02,184.18,18848884,185.1609771003,185.8001175206,183.7728439997,183.9326291048,18848884,0.0,1.0
183.88,184.51,182.48,182.63,19838972,183.6330320328,184.2621858841,182.2349123632,182.3847108992,19838972,0.0,1.0
184.03,184.29,179.42,179.62,23235589,183.7828305688,184.0424813646,179.1790222282,179.3787536096,23235589,0.0,1.0
179.22,180.89,178.67,180.16,18298012,178.9792908468,180.6470478813,178.430029548,179.9180283393,18298012,0.0,1.0
179.63,180.85,176.61,177.0,58582743,179.3887401786,180.607101605,176.3727963199,176.7622725136,58582743,0.0,1.0
176.3,177.29,174.99,175.37,20160085,176.0632126788,177.0518830166,174.7549721308,175.1344617554,20160085,0.0,1.0
175.09,177.385,174.1042,177.14,21869857,174.8548378215,177.1467554227,173.8703618427,176.9020844806,21869857,0.0,1.0
177.24,178.36,174.81,175.46,19618497,177.0019501712,178.1204459069,174.5752138876,175.224340877,19618497,0.0,1.0
176.79,177.0623,174.15,174.22,18063555,176.5525545632,176.8244888389,173.9161003291,173.9860063125,18063555,0.0,1.0
175.16,176.74,174.88,176.11,20913299,174.924743805,176.5026217178,174.6451198711,175.8734678665,20913299,0.0,1.0
177.79,180.41,176.11,178.25,27864737,177.55121147,180.167692566,175.8734678665,178.0105936472,27864737,0.0,1.0
176.62,176.84,173.7701,176.22,21540582,176.382782889,176.6024874085,173.5367105701,175.9833201263,21540582,0.0,1.0
175.01,177.06,172.76,174.97,23779218,174.774945269,176.822191928,172.5279672285,174.7349989927,23779218,0.2,1.0
174.46,177.87,174.3,177.05,19661399,174.0268075545,177.4283403629,173.8672048421,176.6103764618,19661399,0.0,1.0
176.73,177.15,175.75,175.895,23251013,176.2911710369,176.710128157,175.3136044234,175.4582443815,23251013,0.0,1.0
175.41,176.645,173.9339,175.2,22068519,174.9744486595,176.206382096,173.5020138857,174.7649700994,22068519,0.0,1.0
173.79,173.845,171.89,173.28,26879596,173.3584711962,173.4133346286,171.4631889862,172.8497375504,26879596,0.0,1.0
173.17,174.525,171.16,172.54,27459118,172.7400106856,174.0916461564,170.7350016108,172.1115750055,27459118,0.0,1.0
172.5,173.06,169.44,171.86,37638876,172.0716743273,172.6302838208,169.0192724523,171.4332634777,37638876,0.0,1.0
172.11,175.22,171.79,175.2,22958677,171.6826427158,174.7849204385,171.363437291,174.7649700994,22958677,0.0,1.0
175.9,176.836,174.72,175.43,23388693,175.4632319663,176.3969078339,174.2861619622,174.9943989985,23388693,0.0,1.0
176.4,177.27,174.365,174.45,20572157,175.9619904426,176.8298301914,173.932043444,174.016832385,20572157,0.0,1.0
174.99,175.77,173.65,174.98,16579438,174.5554915394,175.3335547624,173.2188188229,174.5455163699,16579438,0.0,1.0
173.55,178.25,172.95,177.07,21024935,173.1190671276,177.8073968049,172.520556956,176.6303268008,21024935,0.0,1.0
176.38,177.15,175.21,176.644,17880042,175.9420401035,176.710128157,174.774945269,176.205384579,17880042,0.0,1.0
177.85,178.15,175.81,176.9,16989369,177.4083900239,177.7076451097,175.3734554405,176.4607489189,16989369,0.0,1.0
176.92,178.77,176.08,176.192,22554400,176.4806992579,178.3261056203,175.6427850177,175.7545069164,22554400,0.0,1.0
176.06,176.265,173.69,174.18,24479262,175.6228346787,175.827325654,173.258719501,173.7475028078,24479262,0.0,1.0
174.18,175.115,172.69,173.29,27867947,173.7475028078,174.6801811585,172.2612025483,172.8597127199,27867947,0.0,1.0
172.51,172.65,170.51,170.63,26948370,172.0816494969,172.2213018702,170.0866155916,170.2063176259,26948370,0.0,1.0
170.34,171.25,168.8,169.77,25127138,169.9170377097,170.8247781366,168.3808616026,169.3484530467,25127138,0.0,1.0
169.14,169.28,164.0,164.26,31327602,168.7200173665,168.8596697399,163.5927802301,163.8521346377,31327602,0.0,1.0
168.65,169.85,166.19,168.025,29799931,168.2312340598,169.4282544029,165.7773423563,167.6077859644,29799931,0.0,1.0
169.96,170.69,168.18,169.39,15346700,169.5379812677,170.2661686431,167.762401092,168.9693966047,15346700,0.0,1.0
169.38,170.15,168.735,169.0,19569146,168.9594214352,169.7275094887,168.3160230007,168.5803649932,19569146,0.0,1.0
171.25,171.76,168.39,168.5,28039696,170.8247781366,171.3335117824,167.9718796521,168.0816065169,28039696,0.0,1.0
